vx,vy,vz
4.000000000000003,5.600000000000006,4.571428571428575
4.000000001477383,5.55320351973194,4.531299928868484
4.000000023256411,5.506457353397594,4.49118068600046
4.000000115816669,5.459758455243367,4.451069655174133
4.000000360015224,5.413104131318345,4.410965808270203
4.0000008643419855,5.366492029399842,4.370868271318802
4.000001762233464,5.3199201290575555,4.330776319210367
4.0000032094444276,5.273386731855562,4.290689370498407
4.000005381477103,5.226890451691322,4.250606982293414
4.000008471067427,5.180430205270874,4.21052884524725
4.000012685727972,5.13400520271943,4.170454778627313
4.000018245347088,5.0876149383265465,4.130384725479787
4.000025379843827,5.041259181425053,4.090318747881264
4.000034326878248,4.994937967402947,4.0502570222780845
4.000045329616659,4.948651588847429,4.010199834912643
4.000058634551352,4.902400586820254,3.9701475773360295
4.000074489374435,4.856185742263629,3.93010074200626
4.0000931409053,4.810008067535799,3.8900599179714273
4.000114833071333,4.7638687980755385,3.850025786637071
4.000139804941389,4.717769384194724,3.8099991176170755
4.000168288811662,4.671711482998187,3.7699807646673986
4.000200508343472,4.625696950430023,3.72997166170193
4.000236676752563,4.579727833445555,3.689972818889807
4.000276995049483,4.533806362308137,3.649985318833457
4.000321650330622,4.487934943009978,3.6100103128267125
4.000370814119444,4.442116149816197,3.570049017192274
4.000424640757552,4.396352717931273,3.530102709697842
4.0004832658450775,4.3506475362870844,3.49017272605021
4.000546804730041,4.3050036404517416,3.4502604564666477
4.000615351046181,4.25942420565838,3.4103673423228456
4.000688975298913,4.213912539953128,3.37049487287677
4.000767723498876,4.168472077461397,3.3306445820676833
4.000851615842751,4.1231063717717245,3.290818045389677
4.000940645440848,4.077819089436346,3.251016876839009
4.001034777091058,4.032614003587666,3.21124272593454
4.001133946098747,3.9874949876698405,3.171497274810589
4.001238057142151,3.9424660092846424,3.131782235381509
4.001346983182843,3.897531124150811,3.09209934657728
4.00146056442087,3.852694470176068,3.052450371649444
4.001578607294081,3.8079602616409836,3.012837095546665
4.001700883521268,3.7633327834938926,2.973261322359234
4.001827129188668,3.718816385756041,2.933724872831824
4.001957043879384,3.6744154780361495,2.8942295819437915
4.00209028984533,3.630134524153597,2.854777296556339
4.002226491221239,3.5859780368693857,2.8153698731258396
4.00236523328033,3.5419505727241103,2.77600917548263
4.002506061731191,3.498056726982089,2.7366970726745845
4.002648482055443,3.454301128680865,2.697435436874753
4.002791958885786,3.410688435785257,2.6582261413523978
4.002935915423954,3.367223330445148,2.619071058506723
4.003079732898205,3.323910514356213,2.5799720579625838
4.003222750059853,3.2807547042227454,2.5409310047275153
4.003364262718481,3.2377606273218147,2.5019497574093577
4.00350352331534,3.194933017167891,2.4630301664937986
4.003639740534569,3.1522766092771763,2.424174072681137
4.003772078951759,3.1097961370307896,2.385383305281555
4.0038996587194475,3.0674963276360265,2.3466596806682447
4.004021555289131,3.0253818981848504,2.3080050007876443
4.0041367991693395,2.98345755180884,2.26942105172613
4.004244375719366,2.9417279739297446,2.230909602332452
4.0043432249782125,2.900197828604865,2.192472402895212
4.004432241528322,2.858871754966429,2.1541111838747113
4.004510274393678,2.817754363754167,2.1158276546884487
4.004576126971826,2.776850233940255,2.0776235025495993
4.004628556999411,2.736163909445837,2.039500391357748
4.004666276550784,2.6956998959482923,2.0014599606412236
4.004687952069247,2.6554626577784615,1.9635038245502991
4.004692204430531,2.615456614906991,1.9256335709005927
4.0046776090380485,2.5756861400190116,1.8878507602659584
4.004642695949519,2.5361555556763196,1.8501569251201815
4.004585950034509,2.49686913156626,1.8125535690267744
4.004505811162497,2.4578310818364946,1.7750421658761915
4.004400674421,2.4190455625148566,1.7376241591697599
4.004268890363333,2.380516669013446,1.7003009613496243
4.004108765285612,2.342248433716204,1.6630739531740306
4.003918561532528,2.304244823649112,1.6259444831372412
4.003696497831484,2.266509738232229,1.5889138669333833
4.003440749654664,2.2290470071127375,1.5519833869635513
4.003149449608602,2.1918603880782124,1.5151542918854515
4.002820687850829,2.154953565049266,1.4784277962049086
4.002452512533156,2.118330146150791,1.4418050799085274
4.002042930271187,2.081993661860969,1.4052872881368268
4.001589906639604,2.045947563237245,1.368875530897146
4.001091366692825,2.0101952202184425,1.332570882815623
4.0005451955105755,1.9747399200022264,1.2963743829275614
3.9999492387679854,1.9395848654970842,1.2602870345054848
3.999301303329731,1.9047331738480269,1.2243098049241867
3.998599157867843,1.8701878750351915,1.188443625562075
3.997840533502721,1.8359519105445357,1.1526893917381325
3.9970231244669323,1.8020281321098095,1.1170479626837733
3.996144588791377,1.7684193005250026,1.0815201615489292
3.9952025490133707,1.7351280845264416,1.0461067754416533
3.994194592906244,1.702157059743737,1.0108085555005446
3.9931182742299987,1.6695087077187654,0.9756262169993183
3.991971113502617,1.6371854149918699,0.9405604394828009
3.9907505987915806,1.6051894722544764,0.905611866933679
3.9894541865251814,1.5735230735673063,0.8707811079692928
3.98807930232318,1.5421883156433804,0.8360687360677858
3.986623341846407,1.5111871971949962,0.8014752898229154
3.9850836716648494,1.4805216183438747,0.7670012732268282
3.983457630143821,1.4501933800936544,0.7326471559801061
3.981742528347766,1.4202041838639343,0.6984133738283917
3.9799356509612833,1.3905556310850444,0.6643003289248958
3.9780342572269354,1.361249222852736,0.6303083902180883
3.97603558189941,1.332286359641977,0.5964378938638893
3.973936836215611,1.3036683410790482,0.5626891436616548
3.9717352088802564,1.2753963657711211,0.5290624115132667
3.9694278670665346,1.2474715311925098,0.4955579379046353
3.967011957431412,1.2198948336267845,0.46217593240891464
3.9644846071451516,1.1926671681639336,0.4289165742107406
3.9618429249346137,1.1657893287517684,0.39578001265079427
3.9590840021399165,1.13926200830075,0.3627663677899972
3.956204913784024,1.1130857988414364,0.3298757309926458
3.95320271965483,1.0872611917337305,0.29710816552778535
3.9500744653993114,1.0617885779271217,0.2644637071881371
3.9468171836293275,1.0366682482711098,0.23194236492587436
3.9434278950386323,1.0119003938749973,0.19954412150456088
3.9399036095306594,0.9874851065162396,0.1672689341665557
3.9362413273566808,0.9634223790965429,0.13511673531518315
3.9324380402638774,0.939712106144897,0.1030874332109842
3.928490732652917,0.9163540843667302,0.07118091268134671
3.9243963827445922,0.8933480132383789,0.03939703584282319
3.9201519637551105,0.870693495646056,0.007735642835440248
3.9157544450795845,0.8483900385685081,-0.023803447431692753
3.9112007934833177,0.8264370538025524,-0.055220436524172044
3.9064879743004384,0.8048338587306775,-0.08651554571617937
3.9016129526394536,0.7835796771298993,-0.11768901521514723
3.8965726945953136,0.7626736400210617,-0.14874110337790283
3.89136416846754,0.7421147865577665,-0.17967208591898817
3.885984345983985,0.7219020649541245,-0.21048225511184962
3.8804302035298175,0.7020343334505156,-0.24117191898358786
3.8746987233812793,0.6825103613165447,-0.2717414005039701
3.868786894943803,0.6633288298903856,-0.3021910367693906
3.862691715994052,0.6444883336536953,-0.3325211781824819
3.856410193925454,0.625987381341294,-0.3627321876280656
3.8499393469968153,0.6078243970847954,-0.3928244396461378
3.8432762055835537,0.5899977215893757,-0.42279831960258846
3.836417813431165,0.5725056133428704,-0.45265422285834356
3.829361228910454,0.5553462498563906,-0.48239255393762615
3.822103526274129,0.53851772893564,-0.512013725696033
3.8146417969143123,0.5220180699821289,-0.5415181584891189
3.8069731506205584,0.5058452153234675,-0.5709062793421847
3.7990947168379323,0.4899970315719349,-0.6001785211219597
3.7910036459247243,0.47447131101049855,-0.6293353217108821
3.782697110409377,0.45926577300548876,-0.6583771231846595
3.774172306246199,0.44437806544510633,-0.6873043709938138
3.7654264540694258,0.4298057662029551,-0.7161175131499019
3.7564568004452044,0.4155463846257866,-0.7448169994171041
3.7472606191210764,0.40159736304464794,-0.7734032805098777
3.737835212272526,0.3879560783086179,-0.8018768072973722
3.7281779117461644,0.3746198433403226,-0.8302380300152937
3.718286080299131,0.3615859087124184,-0.8584873974859195
3.7081571128342614,0.34885146424422925,-0.8866253563469557
3.6977884376306247,0.33641364061772855,-0.9146523502899306
3.6871775175689696,0.3242695110120543,-0.9425688193088195
3.676321851351673,0.3124160927557437,-0.9703751989595959
3.6652189747167534,0.3008503489958784,-0.9980719196314034
3.6538664616455185,0.28956919038332696,-1.025659405830041
3.642261925563427,0.27856947677327504,-1.0531380754744604
3.6304030205337243,0.2678480189402286,-1.0805083392069639
3.6182874424434375,0.2574015803066819,-1.1077705997178044
3.605912930181281,0.2472268786846381,-1.1349252510848749
3.5932772668070694,0.23732058802916828,-1.1619726781291868
3.580378280712189,0.2276793402032009,-1.1889132557868323
3.567213846770703,0.2182997267527286,-1.2157473484981172
3.553781887480674,0.20917830069162055,-1.2424753096145729
3.540080374095256,0.20031157829522905,-1.2690974808245263
3.5261073277431425,0.1916960409019801,-1.2956141915979322
3.511860820537936,0.18332813672213394,-1.3220257586511632
3.497338976676012,0.17520428265290677,-1.3483324854324432
3.482539973522443,0.16732086609914015,-1.3745346616286285
3.467462042684565,0.1596742467987076,-1.400632562694023
3.452103471072746,0.15226075865184682,-1.4266264494019303
3.4364626019479343,0.14507671155360513,-1.4525165674196274
3.4205378359555594,0.13811839322858815,-1.4783031469074661
3.404327632145353,0.13138207106719885,-1.5039864021427822
3.3878305089766605,0.12486399396255603,-1.5295665311693227
3.37104504530882,0.11856039414728105,-1.5550437154728747
3.3539698813761727,0.1124674890293405,-1.5804181196837912
3.3366037197472855,0.10658148302613414,-1.6056898913071151
3.318945326267944,0.10089856939601564,-1.6308591604809894
3.3009935309875043,0.09541493206643677,-1.6559260397640476
3.2827472290681556,0.09012674745789895,-1.6808906239524888
3.264205381676682,0.0850301863029071,-1.7057529899275166
3.245367016858285,0.08012141545910864,-1.7305131965338487
3.2262312303920377,0.07539659971580899,-1.7551712844899863
3.2067971866275538,0.07085190359305155,-1.779727276330939
3.1870641193024256,0.06648349313245035,-1.8041811763840994
3.1670313323400108,0.06228753767896424,-1.8285329707789604
3.146698200627144,0.058260211652800646,-1.8527826274913748
3.126064170771339,0.05439769631063779,-1.8769300964230455
3.1051287618370487,0.050696181495354126,-1.9009753095169444
3.083891566060565,0.047151867373452394,-1.9249181809093523
3.062352249543121,0.043760966159367864,-1.9487586071192184
3.040510552921767,0.04051970382584946,-1.9724964672755279
3.018366292017603,0.03742432179960055,-1.9961316233833764
2.995919358460922,0.03447107864136982,-2.0196639206294478
2.9731697202928467,0.03165625170968017,-2.043093187727581
2.9501174225430318,0.028976138807383155,-2.0664192373051304
2.926762587782992,0.026427059810228838,-2.089641866330809
2.9031054166546455,0.024005358276638807,-2.1127608565847096
2.8791461883736194,0.02170740303787069,-2.135775975171197
2.8548852612069147,0.019529589767763582,-2.1586869750753714
2.8303230729244846,0.017468342531251603,-2.1814935957637904
2.8054601412243065,0.015520115310835116,-2.204195563830147
2.780297064130506,0.013681393510197704,-2.2267925936866013
2.7548345203641236,0.011948695434157282,-2.2492843883014553
2.7290732696860838,0.010318573744140155,-2.271670639983866
2.703014153211931,0.008787616888366245,-2.293951031216297
2.676658093697925,0.0073524505059340065,-2.3161252355353934
2.6500060957980445,0.0060097388039938235,-2.3381929184619863
2.6230592462914837,0.004756185907197981,-2.360153738480908
2.5958187142802065,0.00358853717861603,-2.3820073480713257
2.5682857513561412,0.002503580511303655,-2.4037533947882768
2.5404616917375673,0.0014981475897141495,-2.4253915223961107
2.512347952374285,0.0005691151201404005,-2.4469213720545198
2.483946033021125,-0.0002865939706239963,-2.4683425835578676
2.45525751627938,-0.0010720093692154911,-2.489654796628496
2.4262840676057245,-0.0017901122430355237,-2.5108576522647135
2.397027435288191,-0.002443834141800516,-2.5319507941441612
2.3674894503887782,-0.003036055934118616,-2.5529338700832387
2.3376720266522706,-0.0035696067799049352,-2.5738065335533005
2.3075771603808155,-0.004047263139446268,-2.594568445254305
2.277206930273859,-0.004471747819927387,-2.6152192747466163
2.2465634972329958,-0.00484572906022995,-2.6357587021416533
2.215649104131302,-0.00517181965481578,-2.6561864198520784
2.184466075546731,-0.005452576117505899,-2.6765021344022224
2.1530168174591426,-0.005690497885966921,-2.696705568299435
2.1213038169105247,-0.005888026567716214,-2.7167964619670677
2.0893296416280016,-0.006047545228457392,-2.7367745757397643
2.0570969396091745,-0.006171377723557632,-2.7566396919217784
2.024608438669384,-0.006261788073478265,-2.7763916169089824
1.9918669459504625,-0.00632097988397027,-2.796030183375291
1.9588753473905371,-0.006351095811845983,-2.81555525252418
1.9256366071544702,-0.006354217077138824,-2.834966716405988
1.8921537670244948,-0.0063323630224621326,-2.8542645003017126
1.8584299457506304,-0.006287490720379007,-2.873448565173984
1.824468338360435,-0.006221494629594446,-2.8925189101859092
1.7902722154276758,-0.006136206300781331,-2.911475575288494
1.7558449222994876,-0.00603339413285173,-2.9303186438773183
1.7211898782815864,-0.005914763180485128,-2.949048245519176
1.6863105757811143,-0.0057819550137249605,-2.9676645587493686
1.6512105794066834,-0.005636547630455037,-2.986167813940341
1.6158935250251947,-0.005480055422567334,-3.0045582962423625
1.580363118774994,-0.005313929196632645,-3.0228363485969387
1.5446231360349516,-0.005139556249885634,-3.0410023748236674
1.5086774203490176,-0.004958260502335728,-3.0590568427811995
1.4725298823058437,-0.004771302685815442,-3.0770002876030373
1.4361844983730265,-0.004579880590777562,-3.0948333150088354
1.399645309685555,-0.004385129371652727,-3.1125566046919184
1.3629164207880282,-0.004188121911578914,-3.1301709137836964
1.3260019983302131,-0.003989869247314321,-3.147677080395677
1.288906269715521,-0.003791321055145139,-3.165076027239776
1.2516335217019647,-0.003593366198599772,-3.1823687653276087
1.214188098955176,-0.00339683333878092,-3.199556397749463
1.1765744025530465,-0.003202491608127119,-3.21664012353365
1.138796888441572,-0.0030110513484151767,-3.2336212415869245
1.1008600658414662,-0.0028231649138150574,-3.2505011547166704
1.062768495605115,-0.0026394275398086546,-3.2672813737355417
1.0245267885234448,-0.0024603782787840475,-3.283963521649259
0.986139603582275,-0.002286501003116657,-3.300549337928259
0.9476116461677286,-0.002118225476548854,-3.317040682863877
0.9089476662202663,-0.0019559284946795157,-3.3334395420097733
0.8701524563369223,-0.0017999350953750216,-3.349748030709293
0.831230849821308,-0.0016505198399132173,-3.3659683987094415
0.7921877186809576,-0.001507908165671819,-3.382103034862191
0.7530279715715867,-0.0013722778111727846,-3.398154471913801
0.7137565516878348,-0.0012437603142941526,-3.414125391382838
0.6743784346000612,-0.0011224425844608462,-3.4300186285276144
0.6348986260367703,-0.0010083685496259504,-3.445837177403713
0.5953221596122317,-0.0009015408788539659,-3.4615841960123133
0.5556540944988726,-0.0008019227813175445,-3.4772630115399985
0.5158995130440084,-0.000709439882519206,-3.492877125690752
0.4760635183304861,-0.0006239821785495499,-3.5084302201108217
0.4361512316808106,-0.0005454060691934513,-3.5239261619071622
0.396167790104326,-0.00047353647069576057,-3.5393690092601413
0.356118343687022,-0.0004081690089980001,-3.554763017131201
0.3160080529235385,-0.0003490722942575653,-3.5701126430661816
0.27584208599093774,-0.0002959902774609359,-3.585422553094989
0.23562561596381715,-0.00024864468994239896,-3.6006976277283043
0.19536381797033198,-0.0002067375666197877,-3.615942968052039
0.15506186628870267,-0.0001699538537587417,-3.6311639019202135
0.11472493138377254,-0.00013796410207699052,-3.6463659902469683
0.07435817688319907,-0.00011042724600017061,-3.661555033398394
0.03396675649282649,-8.699346988066431e-05,-3.676737077684881
-0.006444189149158175,-6.730716199098612e-05,-3.691918421954672
-0.04686953567973867,-5.1009957103203975e-05,-3.7071056242893308
-0.08730417828067005,-3.7743868465905996e-05,-3.7223055088018002
-0.12774303501059747,-2.7154509990215746e-05,-3.7375251725377563
-0.16818105020012186,-1.88944094563599e-05,-3.752771992480957
-0.2086131979102419,-1.2626413552292404e-05,-3.7680536326632676
-0.24903448545459875,-8.027185555878967e-06,-3.7833780513800623
-0.28943995698595476,-4.79079647214607e-06,-3.7987535085117057
-0.329824697147333,-2.6324104370983224e-06,-3.8141885729517924
-0.37018383478824746,-1.2920651996082308e-06,-3.829692130142853
-0.41051254674645177,-5.385484928823769e-07,-3.845273389720211
-0.4508060616956353,-1.7337110700797287e-07,-3.8609418932646955
-0.4910596640594961,-3.4837474083796654e-08,-3.8767075221648906
-0.5312686979926177,-2.2145774395012794e-09,-3.8925805055896308
-0.5714285714285801,3.552713678800501e-15,-3.9085714285714257
